,re_A,re_B,re_FairA,re_FairB,re_Ahat,re_Bhat
0,33.48874226424187,34.93679517553458,33.499723526770225,34.91722955955034,33.48475577755687,34.9018406206062
1,28.48127290519323,30.078049495712033,28.523091699546164,30.033287691147436,28.475352805272287,29.937034883821514
2,24.92276813031487,25.265783350784996,24.958823900156112,25.197735063976328,24.890896941931285,25.141724467298253
3,21.920504814839322,22.30849733034882,21.94757427891561,22.26119730602302,21.907764376365733,22.224816001764182
4,20.519801860771636,20.841453864520606,20.54841884578806,20.791585384208787,20.506023124474044,20.75275298666605
5,19.295011083995195,19.569400530988627,19.32670619694659,19.513665022749368,19.27983924124627,19.470539320170307
6,18.326440966021718,18.6181293143369,18.373864255772606,18.53113068701756,18.30630381451281,18.468440415743913
7,17.45470903684619,17.818080018866482,17.511846391076617,17.715096172070833,17.432792410272377,17.638429393123015
8,16.652883667372887,17.003017392406967,16.702711475725945,16.916756819260492,16.632885199352312,16.84870243770192
9,15.943765466620638,16.31332648218274,15.989256078650879,16.235896090661342,15.926053793478953,16.17304168456484
10,15.292246633431352,15.704360138575327,15.352676862866302,15.598164657451244,15.271903224251094,15.520482292094101
11,14.664571718559225,15.078458183398608,14.717293314290938,14.990543267034187,14.645936569918792,14.918297204758698
12,14.130243477528042,14.538568404265632,14.184902932771822,14.447417555281461,14.110506518702186,14.372468195202405
13,13.61254009072812,14.033721424007906,13.66896795817751,13.93259421093599,13.588488054772013,13.855745797059974
14,13.11746018833819,13.539195284070185,13.169514323014134,13.451265439425242,13.097877297675922,13.379747450365281
15,12.662352170139487,13.12814125541157,12.715207888249022,13.039708579552542,12.643293040978469,12.967244827420764
16,12.29573075951566,12.755445279222617,12.350955850722245,12.661098694982037,12.274964381489,12.585807126630286
17,11.940729624852311,12.37726643596835,11.991283973246317,12.292026923206116,11.920209804970456,12.221545753150512
18,11.607499682686802,12.037211742885061,11.659150068829678,11.950590478424463,11.58786117006934,11.879456315826513
19,11.298910873651096,11.72970488945354,11.35218613478991,11.642209546473659,11.27990077581058,11.567739231555242
